well_id,typewell_name,horizontal_avg_X,horizontal_avg_Y,typewell_avg_X,typewell_avg_Y,typewell_well_count,typewell_row_count
000d7d20,Typewell20030,2983513.881586,1071417.673429,2973475.745049,1065223.588720,14,87719
00bbac68,Typewell20017,3008500.409817,1086928.409632,3006562.644914,1089459.693544,41,245452
00e12e8b,Typewell20030,2969568.616414,1062552.745421,2973475.745049,1065223.588720,14,87719
015fe0d2,Typewell20017,3000247.112392,1075563.087903,3006562.644914,1089459.693544,41,245452
01869cd4,Typewell20030,2973618.040756,1065922.441745,2973475.745049,1065223.588720,14,87719
01982c1d,Typewell20002,2995565.781575,1124200.967838,2993254.581653,1119522.756102,28,184806
028d7b28,Typewell20001,3007594.002023,1069810.295425,3005291.363312,1074493.145580,27,206662
02e7fe5a,Typewell20020,2985931.450893,1061532.321328,2985418.744890,1058928.486172,10,68790
0390d174,Typewell20004,3000841.121654,1125584.424673,2998428.425994,1126804.213960,13,75222
03a935ae,Typewell20015,3034603.122181,1088709.863413,3034920.554718,1093812.498557,7,45634
044af7d1,Typewell20014,3009892.159263,1108288.725897,3002049.147178,1103524.470839,30,191790
0498acab,Typewell20023,2991522.169868,1093204.556409,2985782.766520,1100575.026316,25,167761
052d64df,Typewell20023,2979917.680447,1098971.452684,2985782.766520,1100575.026316,25,167761
05948241,Typewell20013,2957609.380965,1088931.179702,2955104.316351,1086839.743342,13,71115
059c8f24,Typewell20049,2915402.964641,1064196.637094,2915402.964641,1064196.637094,1,7998
05a0ee4d,Typewell20014,2993634.674160,1102879.282294,3002049.147178,1103524.470839,30,191790
060ab2b8,Typewell20033,2898838.321126,1028519.358588,2894393.423226,1028335.426845,11,77197
06df5958,Typewell20028,2905092.588518,1025443.508141,2902948.903430,1024362.231738,7,38675
071d7b45,Typewell20055,2945536.778763,1079179.651114,2945989.856898,1075896.153719,2,9449
0849b4e2,Typewell20022,3021498.143088,1116087.873970,3017268.148636,1117616.352285,19,111303
084d66f9,Typewell20003,2931110.130107,1054982.956594,2924743.617104,1053867.180906,26,157615
08fecf00,Typewell20036,3021903.129217,1116143.174774,3021487.429743,1112557.744141,22,144332
09053135,Typewell20027,2990964.723209,1086181.894393,2987980.408279,1087094.536237,20,128305
09441b8d,Typewell20016,2906268.422788,1040826.031082,2905294.439869,1032450.916284,57,395136
